Founded Year,Company,Employees,Website,Industry,Keywords,SEO Description
2001,Mantrin,48,http://www.mantrin.com,marketing & advertising,"marketing communications, graphic design, website consultancy, brand management, startegy, account planning, newspaper advertising, radio advertising, television commercials, media planning, media buying, media negotiations, integrated marketing, online marketing, digital marketing, social media marketing, print media",Mantrin is the best digital marketing and advertising agency in Chandigarh that has been transforming businesses into leading brands for more than two decades.
2001,The Communication Council,57,http://www.tccggd.com,public relations & communications,"public relations, corporate communication, brand strategy, marketing, branding, digital marketing, packaging, website designing, cross linkages, media relations, events strategy, content creation, design solutions, social media marketing, digital content production, seo","Since its inception in 2001, TCC has conceptualized and executed projects to tell impactful stories in the areas of Public Relations, Media Relations, Event Strategy, Cross Linkages, Marketing and Brand Strategy. Our work is designed to tap into the mind space of third-party endorser, the opinion maker, the critic and the influencer. For a brand entry, brand launch, brand revitalization or brand communication sustainability, we are committed to understanding our clientsâ€™ business issues, being knowledgeable about their competitors and anticipating their communication needs."
2001,Graphinet,29,http://www.graphinetmedia.com,management consulting,"web development, content management system development, internet marketing, technology consulting, online consulting, ecommerce development, web design",Graphinetmedia Solution
2001,Mind Edge Solutions,42,http://www.mindedgesolutions.com,information technology & services,"website development, web designing, website maintainance, ecommerce solutions, mobile app development, social media marketing, seo, digital marketing, social media optimization, email marketing, sms marketing, crm software, brand promotion, social branding",MindEdge Solutions is the Best Digital Marketing Agency in Kolkata. We offer 360Â° Digital Marketing Services for B2B Businesses to boost their Online Presence.
2001,The Creative Edge,3,http://www.creativeedgeco.com,marketing & advertising,"facebook ad, designing, videos, google ad, corporate gifts, trophies awards, social media marketing, digital printing, personalised printing, website development, email marketing, landing pages, graphic designing, rewards recognition, search engine optimisation, campaigns, micro sites, bulk printing, customised gifts","The Creative Edge is an advertising company in Delhi with decades of experience offering graphic designing, printing, corporate gifting, branding and marketing services"
2001,Mailing Lists Global,6,http://www.mlgindia.com,marketing & advertising,"direct marketing, international data acquisition, list brokerage, list management, data management, print, post management, response management, email marketing, sms management, digital, online mktg, data validation, insert media, list cleansig, hygiene, list verification, email verification, validation, hard bounce management, offshore services, list profiling","MLG is the best database provider Company in India and Mumbai. We are specialized in marketing database, company database, B2B and B2C data solutions. We are top quality database provider and data aggregator for all data requirements."
2001,Paradox Technologies,5,http://www.paradox.co.in,information technology & services,"online marketing, web hosting, domain name registration, bulk email software, search engine optimization, email solutions, web designing, domain name registration web hosting email solutions web designing ecommerce services online marketin, ecommerce services, search engine marketing","Service Provider for Domain Name Registration, Web Hosting, Cloud Servers, Email Services, Google Workspace, Website Creation and Web Design in Chennai"
2001,SIMS,10,http://www.simscomm.net,media production,software & hardware solutions for broadcasting media,"playout software, sims media caster, airnow playout, cable tv software, NRCS Software, Media log, CG, Online CG, TV Channel, playout from kerala"
2001,iGrapix Solutions,4,http://www.igrapix.com,information technology & services,"graphic design amp print, digital media solutions, graphic design print, product development, web solutions","iGrapix Solutions is a full service Web, Digital, Graphic Design and Print Media established in 2001. Today iGrapix reached 215 clients with a rapid growth rate over the period of 14 Years without marketing."
2001,MeSy India,5,http://www.mesylogging.com,oil & energy,"acousticoptical imaging upto borehole depth 1000m depth borehole, dilatometer test upto borehole depth 1000m, hydrojacking test for shallow & deep borehole, instrumentation, gamma gamma logging upto borehole depth 1000m, resistivity logging upto borehole depth 1000m, stress measurement upto depth 2500m & also in horizontal boreholes, ground water stimulation for productivity, temperatureconductivity logging upto borehole depth 1000m, high pressure injection test for stimulation, permeability testing for coal bed methane borehole depth upto 2000m, water quality logging upto borehole depth 1000m, sonic logging upto borehole depth 1000m, caliper logging","Mesy India has been successfully providing testing and logging services for underground mines, dams, road/railway tunnels, metro projects, highways, bridges and underground caverns"
